Batch of Curriculum,Department,Program,Year Level,Semester,Course Code,Course Title,Lec,Lab,GenEd,Pre/Co-Requisite
2023,COE,BSCPE,4th Year,Second Semester,CPP122,CpE Practice and Design 2,0,2,FALSE,CPP120
2023,COE,BSCPE,4th Year,Second Semester,COE111,Basic Occupational Health and Safety,3,0,FALSE,4th Year Standing
2023,COE,BSCPE,4th Year,Second Semester,COE116,"Seminars, Colloquium and Field Trips",0,1,FALSE,4th Year Standing
2023,COE,BSCPE,4th Year,Second Semester,CPE103,CpE Elective 3,3,1,FALSE,CPE102
2023,COE,BSCPE,ELECTIVES,ARTIFICIAL INTELLIGENCE,CPE101,CpE Elective 1 (Machine Learning),3,1,FALSE,"CPP106, COE107"
2023,COE,BSCPE,ELECTIVES,ARTIFICIAL INTELLIGENCE,CPE102,CpE Elective 2 (Computer Vision),3,1,FALSE,CPE101
2023,COE,BSCPE,ELECTIVES,ARTIFICIAL INTELLIGENCE,CPE103,CpE Elective 3 (Robotics),3,1,FALSE,"CPE102, CPP117"
2023,COE,BSCPE,ELECTIVES,SOFTWARE DEVELOPMENT,CPE101,CpE Elective 1 (Frond-end Web Development),3,1,FALSE,CPP106
2023,COE,BSCPE,ELECTIVES,SOFTWARE DEVELOPMENT,CPE102,CpE Elective 2 (Back-end Web Development),3,1,FALSE,CPE101
2023,COE,BSCPE,ELECTIVES,SOFTWARE DEVELOPMENT,CPE103,CpE Elective 3 (Full-Stack Web Development),3,1,FALSE,CPE102
