Batch of Curriculum,Department,Program,Year Level,Semester,Course Code,Course Title,Lec,Lab,GenEd,Pre/Co-Requisite
2023,CBAA,BSBA-MM,1st Year,First Semester,MAT101,Mathematics in the Modern World,3,0,TRUE,NONE
2023,CBAA,BSBA-MM,1st Year,First Semester,PSY100,Understanding the Self,3,0,TRUE,NONE
2023,CBAA,BSBA-MM,1st Year,First Semester,READ100,Science and Development Aof Reading,3,0,TRUE,NONE
2023,CBAA,BSBA-MM,1st Year,First Semester,ITE101,Living in the IT Era,3,0,TRUE,NONE
2023,CBAA,BSBA-MM,1st Year,First Semester,BAC100,Fundamentals of Accounting,3,0,FALSE,NONE
2023,CBAA,BSBA-MM,1st Year,First Semester,PHD101,PnCians Holistic Development,1,0,TRUE,NONE
2023,CBAA,BSBA-MM,1st Year,First Semester,NSTP1,National Service Training Program 1,3,0,TRUE,NONE
2023,CBAA,BSBA-MM,1st Year,First Semester,PED101,Physical Activities Toward Health and Fitness 1,2,0,TRUE,NONE
2023,CBAA,BSBA-MM,1st Year,Second Semester,GAD101,Gender and Development,3,0,TRUE,NONE
2023,CBAA,BSBA-MM,1st Year,Second Semester,HIS101,Readings in Philippine History,3,0,TRUE,NONE
2023,CBAA,BSBA-MM,1st Year,Second Semester,HMN101,Art Appreciation,3,0,TRUE,NONE
2023,CBAA,BSBA-MM,1st Year,Second Semester,COM101,Purposive Communication,3,0,TRUE,NONE
2023,CBAA,BSBA-MM,1st Year,Second Semester,ACF100,Micro and Macro-economics,3,0,FALSE,NONE
2023,CBAA,BSBA-MM,1st Year,Second Semester,PHD102,PnCians Holistic Development,1,0,TRUE,NONE
2023,CBAA,BSBA-MM,1st Year,Second Semester,NSTP2,National Service Training Program 2,3,0,TRUE,NSTP1
2023,CBAA,BSBA-MM,1st Year,Second Semester,PED102,Physical Activities Toward Health and Fitness 2,2,0,TRUE,PED101
2023,CBAA,BSBA-MM,2nd Year,First Semester,STS101,"Science, Technology and Society",3,0,TRUE,NONE
2023,CBAA,BSBA-MM,2nd Year,First Semester,SOC101,The Contemporary World,3,0,TRUE,NONE
2023,CBAA,BSBA-MM,2nd Year,First Semester,RIZ101,Life and Works of Rizal,3,0,TRUE,NONE
2023,CBAA,BSBA-MM,2nd Year,First Semester,ENT101,The Entrepreneurial Mind,3,0,TRUE,BAC100
2023,CBAA,BSBA-MM,2nd Year,First Semester,ETH101,Ethics,3,0,TRUE,NONE
2023,CBAA,BSBA-MM,2nd Year,First Semester,PED103,Physical Activities Toward Health and Fitness 3,2,0,TRUE,PED102
