Batch of Curriculum,Department,Program,Year Level,Semester,Course Code,Course Title,Lec,Lab,GenEd,Pre/Co-Requisite
2023,CBAA,BSA,3rd Year,Second Semester,ACC124A,Accountancy Research 1,3,0,FALSE,NONE
2023,CBAA,BSA,3rd Year,SUMMER,ACP106,Auditing and Assurance: Concept and Principles Part 2,3,0,FALSE,ACP103
2023,CBAA,BSA,3rd Year,SUMMER,ACP107,Auditing in a CIS Environment (with Lab),2,1,FALSE,ACP103
2023,CBAA,BSA,3rd Year,SUMMER,ACP108,Ausiting and Assurance: Specialized Industries,3,0,FALSE,ACP103
2023,CBAA,BSA,4th Year,First Semester,ACE104,Operations Auditing,3,0,FALSE,"ACP102, ACP103"
2023,CBAA,BSA,4th Year,First Semester,ACC124B,Accountancy Research 2,3,0,FALSE,ACC124A
2023,CBAA,BSA,4th Year,First Semester,ACC125,Strategic Business Analysis,3,0,FALSE,"ACC122, ACC123"
2023,CBAA,BSA,4th Year,First Semester,ACC126,Accounting Intership,6,0,FALSE,4th Year Standing
2023,CBAA,BSA,4th Year,Second Semester,ACA101,Competency Apparaisal 1,4.5,0,FALSE,4th Year Standing
2023,CBAA,BSA,4th Year,Second Semester,ACA102,Competency Apparaisal 2,4.5,0,FALSE,4th Year Standing
